distribution,mu,sigma,tau,mean,variance,log_likelihood,aic,bic,n_params,ad,position,mean_input,window_start,window_end,a,d,scale,alpha,loc,beta,actual_mean,actual_variance,c,shift
skew_normal,,,,8.856624495449596,59.54151262527049,-2074.367785101673,4154.735570203346,4168.091717066657,3,6.834766167640623,QB,7.0,5.5,8.5,,,12.451138032252066,30.177161224780335,-0.9152414804211904,,,,,
weibull,,,,7.166240454465899,36.79167065912341,-17627.22677704705,35258.4535540941,35271.843898091654,2,55.46757549142694,RB,7.0,5.5,8.5,,,7.567705092222871,,,,,,1.1710936857244296,
generalized_gamma,,,,7.277075664504875,32.29915135585554,-29349.80251874189,58705.60503748378,58727.25609156397,3,513.4157598226684,WR,7.0,5.5,8.5,0.746482835004336,2.777361481251755,1.7201368497756602,,,,,,,
gamma,,,,6.897966728367222,27.586795023891714,-13705.152820749307,27414.305641498613,27427.258383892404,2,141.21897828280817,TE,7.0,5.5,8.5,,,3.999264726871425,1.7248087334702185,,0.2500459630193792,6.897966728367222,27.420852741865218,,
gamma,,,,7.7946570397111925,20.57968873871651,-19447.572488819565,38899.14497763913,38912.830764301245,2,61.84624984093989,K,7.0,5.5,8.5,,,2.640230177398418,2.9522642027339256,,0.378754855754797,7.794657039711192,17.131552680212174,,
skew_normal,,,,7.178643803585347,37.92786815293705,-20367.948436337003,40741.896872674006,40762.196055505156,3,11.215073169870266,DST,7.0,5.5,8.5,,,9.542819018673814,3.5574678915419105,-0.110910208619734,,,,,
skew_normal,,,,8.935144719779492,58.731167800157316,-2385.3391058284533,4776.678211656907,4790.43672662147,3,6.9651154767853996,QB,7.5,6.0,9.0,,,12.572911394931147,22.70873046497521,-1.0321429290934865,,,,,
weibull,,,,7.61108148927707,39.212428510513625,-17528.9441305126,35061.8882610252,35075.23152011464,2,47.05868976700185,RB,7.5,6.0,9.0,,,8.095604521055497,,,,,,1.2042240780063613,
generalized_gamma,,,,7.707608154869686,34.68965368560237,-28352.97747369887,56711.95494739774,56733.44877895855,3,395.1338385834242,WR,7.5,6.0,9.0,0.8381203362477867,2.317916384461861,2.702607446160151,,,,,,,
gamma,,,,7.331908910705066,29.709251249738543,-12870.540527927034,25745.08105585407,25757.874268310923,2,92.34053532496091,TE,7.5,6.0,9.0,,,4.052048601744232,1.809432618243768,,0.2467887476891425,7.3319089107050655,28.67991553216344,,
gamma,,,,7.832057172026545,20.601884889740884,-22018.968857683954,44041.93771536791,44055.87068292604,2,66.78982662193175,K,7.5,6.0,9.0,,,2.6304563969890102,2.977451814442399,,0.38016216544956394,7.832057172026544,17.178533338232125,,
skew_normal,,,,7.273049645390071,38.49894485827035,-19751.143410041608,39508.286820083216,39528.4856686561,3,9.796922336230637,DST,7.5,6.0,9.0,,,9.63467502995718,3.5807435652169133,-0.09772750098996441,,,,,
skew_normal,,,,9.49600455677572,58.560410603042584,-2844.7769086882718,5695.5538173765435,5709.810628504969,3,6.434080385397351,QB,8.0,6.5,9.5,,,12.990785560929023,22.63620919522892,-1.0016168709159479,,,,,
